vehicle_id,home_depot,battery_kwh,min_soc_kwh,initial_soc_kwh,max_soc_kwh,max_charge_kw,maintenance_start,maintenance_end
B001,D1,420,63,252,399,180,,
B002,D2,460,69,299,437,180,,
B003,D3,420,63,294,399,180,,
B004,D4,460,69,345,437,180,,
B005,D5,420,63,336,399,180,,
B006,D6,460,69,253,437,180,,
B007,D7,420,63,252,399,180,,
B008,D8,460,69,299,437,180,,
B009,D1,420,63,294,399,180,11:30,13:00
B010,D2,460,69,345,437,180,,
B011,D3,420,63,336,399,180,,
B012,D4,460,69,253,437,180,,
B013,D5,420,63,252,399,180,,
B014,D6,460,69,299,437,180,,
B015,D7,420,63,294,399,180,,
B016,D8,460,69,345,437,180,,
B017,D1,420,63,336,399,180,,
B018,D2,460,69,253,437,180,11:30,13:00
B019,D3,420,63,252,399,180,,
B020,D4,460,69,299,437,180,,
B021,D5,420,63,294,399,180,,
B022,D6,460,69,345,437,180,,
B023,D7,420,63,336,399,180,,
B024,D8,460,69,253,437,180,,
B025,D1,420,63,252,399,180,,
B026,D2,460,69,299,437,180,,
B027,D3,420,63,294,399,180,11:30,13:00
B028,D4,460,69,345,437,180,,
B029,D5,420,63,336,399,180,,
B030,D6,460,69,253,437,180,,
B031,D7,420,63,252,399,180,,
B032,D8,460,69,299,437,180,,
B033,D1,420,63,294,399,180,,
B034,D2,460,69,345,437,180,,
B035,D3,420,63,336,399,180,,
B036,D4,460,69,253,437,180,11:30,13:00
