zone_id,daily_parcels,critical_flag,min_on_time_rate,target_same_day_rate
Z001,167,0,0.86,0.9
Z002,184,0,0.86,0.91
Z003,201,0,0.86,0.89
Z004,218,0,0.86,0.9
Z005,235,0,0.86,0.91
Z006,252,0,0.86,0.89
Z007,269,0,0.86,0.9
Z008,286,0,0.86,0.91
Z009,303,0,0.86,0.89
Z010,320,1,0.94,0.98
Z011,337,0,0.86,0.91
Z012,354,0,0.86,0.89
Z013,371,0,0.86,0.9
Z014,388,0,0.86,0.91
Z015,405,0,0.86,0.89
Z016,422,0,0.86,0.9
Z017,159,0,0.86,0.91
Z018,176,0,0.86,0.89
Z019,193,0,0.86,0.9
Z020,210,1,0.94,0.98
Z021,227,0,0.86,0.89
Z022,244,0,0.86,0.9
Z023,261,0,0.86,0.91
Z024,278,0,0.86,0.89
Z025,295,0,0.86,0.9
Z026,312,0,0.86,0.91
Z027,329,0,0.86,0.89
Z028,346,0,0.86,0.9
Z029,363,0,0.86,0.91
Z030,380,1,0.94,0.97
Z031,397,0,0.86,0.9
Z032,414,0,0.86,0.91
Z033,151,0,0.86,0.89
Z034,168,0,0.86,0.9
Z035,185,0,0.86,0.91
Z036,202,0,0.86,0.89
Z037,219,0,0.86,0.9
Z038,236,0,0.86,0.91
Z039,253,0,0.86,0.89
Z040,270,1,0.94,0.98
Z041,287,0,0.86,0.91
Z042,304,0,0.86,0.89
Z043,321,0,0.86,0.9
Z044,338,0,0.86,0.91
Z045,355,0,0.86,0.89
Z046,372,0,0.86,0.9
Z047,389,0,0.86,0.91
Z048,406,0,0.86,0.89
Z049,423,0,0.86,0.9
Z050,160,1,0.94,0.98
Z051,177,0,0.86,0.89
Z052,194,0,0.86,0.9
Z053,211,0,0.86,0.91
Z054,228,0,0.86,0.89
Z055,245,0,0.86,0.9
Z056,262,0,0.86,0.91
Z057,279,0,0.86,0.89
Z058,296,0,0.86,0.9
Z059,313,0,0.86,0.91
Z060,330,1,0.94,0.97
Z061,347,0,0.86,0.9
Z062,364,0,0.86,0.91
Z063,381,0,0.86,0.89
Z064,398,0,0.86,0.9
Z065,415,0,0.86,0.91
Z066,152,0,0.86,0.89
Z067,169,0,0.86,0.9
Z068,186,0,0.86,0.91
Z069,203,0,0.86,0.89
Z070,220,1,0.94,0.98
Z071,237,0,0.86,0.91
Z072,254,0,0.86,0.89
Z073,271,0,0.86,0.9
Z074,288,0,0.86,0.91
Z075,305,0,0.86,0.89
Z076,322,0,0.86,0.9
Z077,339,0,0.86,0.91
Z078,356,0,0.86,0.89
Z079,373,0,0.86,0.9
Z080,390,1,0.94,0.98
Z081,407,0,0.86,0.89
Z082,424,0,0.86,0.9
Z083,161,0,0.86,0.91
Z084,178,0,0.86,0.89
Z085,195,0,0.86,0.9
Z086,212,0,0.86,0.91
Z087,229,0,0.86,0.89
Z088,246,0,0.86,0.9
Z089,263,0,0.86,0.91
Z090,280,1,0.94,0.97
Z091,297,0,0.86,0.9
Z092,314,0,0.86,0.91
Z093,331,0,0.86,0.89
Z094,348,0,0.86,0.9
Z095,365,0,0.86,0.91
Z096,382,0,0.86,0.89
Z097,399,0,0.86,0.9
Z098,416,0,0.86,0.91
Z099,153,0,0.86,0.89
Z100,170,1,0.94,0.98
Z101,187,0,0.86,0.91
Z102,204,0,0.86,0.89
Z103,221,0,0.86,0.9
Z104,238,0,0.86,0.91
Z105,255,0,0.86,0.89
Z106,272,0,0.86,0.9
Z107,289,0,0.86,0.91
Z108,306,0,0.86,0.89
Z109,323,0,0.86,0.9
Z110,340,1,0.94,0.98
Z111,357,0,0.86,0.89
Z112,374,0,0.86,0.9
Z113,391,0,0.86,0.91
Z114,408,0,0.86,0.89
Z115,425,0,0.86,0.9
Z116,162,0,0.86,0.91
Z117,179,0,0.86,0.89
Z118,196,0,0.86,0.9
Z119,213,0,0.86,0.91
Z120,230,1,0.94,0.97
