from_depot,to_depot,minutes,energy_kwh
D_A,D_A,0,0
D_A,D_B,16,7
D_A,D_C,22,10
D_A,D_D,28,13
D_A,D_E,34,15
D_A,D_F,40,18
D_A,D_G,46,21
D_A,D_H,38,17
D_B,D_A,16,7
D_B,D_B,0,0
D_B,D_C,20,9
D_B,D_D,26,12
D_B,D_E,32,14
D_B,D_F,38,17
D_B,D_G,30,14
D_B,D_H,36,16
D_C,D_A,22,10
D_C,D_B,20,9
D_C,D_C,0,0
D_C,D_D,24,11
D_C,D_E,30,14
D_C,D_F,22,10
D_C,D_G,28,13
D_C,D_H,34,15
D_D,D_A,28,13
D_D,D_B,26,12
D_D,D_C,24,11
D_D,D_D,0,0
D_D,D_E,14,6
D_D,D_F,20,9
D_D,D_G,26,12
D_D,D_H,32,14
D_E,D_A,34,15
D_E,D_B,32,14
D_E,D_C,30,14
D_E,D_D,14,6
D_E,D_E,0,0
D_E,D_F,18,8
D_E,D_G,24,11
D_E,D_H,30,14
D_F,D_A,40,18
D_F,D_B,38,17
D_F,D_C,22,10
D_F,D_D,20,9
D_F,D_E,18,8
D_F,D_F,0,0
D_F,D_G,22,10
D_F,D_H,28,13
D_G,D_A,46,21
D_G,D_B,30,14
D_G,D_C,28,13
D_G,D_D,26,12
D_G,D_E,24,11
D_G,D_F,22,10
D_G,D_G,0,0
D_G,D_H,26,12
D_H,D_A,38,17
D_H,D_B,36,16
D_H,D_C,34,15
D_H,D_D,32,14
D_H,D_E,30,14
D_H,D_F,28,13
D_H,D_G,26,12
D_H,D_H,0,0
