zone_id,doorstep_cost_per_parcel,on_time_base_rate
Z001,2.92,0.87
Z002,3.04,0.88
Z003,3.16,0.89
Z004,3.28,0.9
Z005,3.4,0.91
Z006,3.52,0.92
Z007,3.64,0.93
Z008,3.76,0.94
Z009,3.88,0.95
Z010,4.0,0.86
Z011,4.12,0.87
Z012,4.24,0.88
Z013,4.36,0.89
Z014,4.48,0.9
Z015,2.8,0.91
Z016,2.92,0.92
Z017,3.04,0.93
Z018,3.16,0.94
Z019,3.28,0.95
Z020,3.4,0.86
Z021,3.52,0.87
Z022,3.64,0.88
Z023,3.76,0.89
Z024,3.88,0.9
Z025,4.0,0.91
Z026,4.12,0.92
Z027,4.24,0.93
Z028,4.36,0.94
Z029,4.48,0.95
Z030,2.8,0.86
Z031,2.92,0.87
Z032,3.04,0.88
Z033,3.16,0.89
Z034,3.28,0.9
Z035,3.4,0.91
Z036,3.52,0.92
Z037,3.64,0.93
Z038,3.76,0.94
Z039,3.88,0.95
Z040,4.0,0.86
Z041,4.12,0.87
Z042,4.24,0.88
Z043,4.36,0.89
Z044,4.48,0.9
Z045,2.8,0.91
Z046,2.92,0.92
Z047,3.04,0.93
Z048,3.16,0.94
Z049,3.28,0.95
Z050,3.4,0.86
Z051,3.52,0.87
Z052,3.64,0.88
Z053,3.76,0.89
Z054,3.88,0.9
Z055,4.0,0.91
Z056,4.12,0.92
Z057,4.24,0.93
Z058,4.36,0.94
Z059,4.48,0.95
Z060,2.8,0.86
Z061,2.92,0.87
Z062,3.04,0.88
Z063,3.16,0.89
Z064,3.28,0.9
Z065,3.4,0.91
Z066,3.52,0.92
Z067,3.64,0.93
Z068,3.76,0.94
Z069,3.88,0.95
Z070,4.0,0.86
Z071,4.12,0.87
Z072,4.24,0.88
Z073,4.36,0.89
Z074,4.48,0.9
Z075,2.8,0.91
Z076,2.92,0.92
Z077,3.04,0.93
Z078,3.16,0.94
Z079,3.28,0.95
Z080,3.4,0.86
Z081,3.52,0.87
Z082,3.64,0.88
Z083,3.76,0.89
Z084,3.88,0.9
Z085,4.0,0.91
Z086,4.12,0.92
Z087,4.24,0.93
Z088,4.36,0.94
Z089,4.48,0.95
Z090,2.8,0.86
Z091,2.92,0.87
Z092,3.04,0.88
Z093,3.16,0.89
Z094,3.28,0.9
Z095,3.4,0.91
Z096,3.52,0.92
Z097,3.64,0.93
Z098,3.76,0.94
Z099,3.88,0.95
Z100,4.0,0.86
Z101,4.12,0.87
Z102,4.24,0.88
Z103,4.36,0.89
Z104,4.48,0.9
Z105,2.8,0.91
Z106,2.92,0.92
Z107,3.04,0.93
Z108,3.16,0.94
Z109,3.28,0.95
Z110,3.4,0.86
Z111,3.52,0.87
Z112,3.64,0.88
Z113,3.76,0.89
Z114,3.88,0.9
Z115,4.0,0.91
Z116,4.12,0.92
Z117,4.24,0.93
Z118,4.36,0.94
Z119,4.48,0.95
Z120,2.8,1.02
