locker_id,zone_id,transport_cost_per_parcel,travel_minutes
L001,Z001,1.77,20
L001,Z002,2.04,25
L001,Z003,2.31,30
L001,Z004,2.58,35
L001,Z005,2.85,40
L001,Z006,1.14,45
L001,Z007,1.41,12
L001,Z008,1.68,17
L001,Z009,1.95,22
L001,Z010,2.22,27
L001,Z011,2.49,32
L001,Z012,2.76,37
L001,Z013,1.05,42
L001,Z014,1.32,9
L001,Z015,1.59,14
L001,Z016,1.86,19
L001,Z017,2.13,24
L001,Z018,2.4,29
L001,Z019,2.67,34
L001,Z020,2.94,39
L001,Z021,1.23,44
L001,Z022,1.5,11
L001,Z023,1.77,16
L001,Z024,2.04,21
L001,Z025,2.31,26
L001,Z026,2.58,31
L001,Z027,2.85,36
L001,Z028,1.14,41
L001,Z029,1.41,8
L001,Z030,1.68,13
L001,Z031,1.95,18
L001,Z032,2.22,23
L001,Z033,2.49,28
L001,Z034,2.76,33
L001,Z035,1.05,38
L001,Z036,1.32,43
L001,Z037,1.59,10
L001,Z038,1.86,15
L001,Z039,2.13,20
L001,Z040,2.4,25
L001,Z041,2.67,30
L001,Z042,2.94,35
L001,Z043,1.23,40
L001,Z044,1.5,45
L001,Z045,1.77,12
L001,Z046,2.04,17
L001,Z047,2.31,22
L001,Z048,2.58,27
L001,Z049,2.85,32
L001,Z050,1.14,37
L001,Z051,1.41,42
L001,Z052,1.68,9
L001,Z053,1.95,14
L001,Z054,2.22,19
L001,Z055,2.49,24
L001,Z056,2.76,29
L001,Z057,1.05,34
L001,Z058,1.32,39
L001,Z059,1.59,44
L001,Z060,1.86,11
L001,Z061,2.13,16
L001,Z062,2.4,21
L001,Z063,2.67,26
L001,Z064,2.94,31
L001,Z065,1.23,36
L001,Z066,1.5,41
L001,Z067,1.77,8
L001,Z068,2.04,13
L001,Z069,2.31,18
L001,Z070,2.58,23
L001,Z071,2.85,28
L001,Z072,1.14,33
L001,Z073,1.41,38
L001,Z074,1.68,43
L001,Z075,1.95,10
L001,Z076,2.22,15
L001,Z077,2.49,20
L001,Z078,2.76,25
L001,Z079,1.05,30
L001,Z080,1.32,35
L001,Z081,1.59,40
L001,Z082,1.86,45
L001,Z083,2.13,12
L001,Z084,2.4,17
L001,Z085,2.67,22
L001,Z086,2.94,27
L001,Z087,1.23,32
L001,Z088,1.5,37
L001,Z089,1.77,42
L001,Z090,2.04,9
L001,Z091,2.31,14
L001,Z092,2.58,19
L001,Z093,2.85,24
L001,Z094,1.14,29
L001,Z095,1.41,34
L001,Z096,1.68,39
L001,Z097,1.95,44
L001,Z098,2.22,11
L001,Z099,2.49,16
L001,Z100,2.76,21
L001,Z101,1.05,26
L001,Z102,1.32,31
L001,Z103,1.59,36
L001,Z104,1.86,41
L001,Z105,2.13,8
L001,Z106,2.4,13
L001,Z107,2.67,18
L001,Z108,2.94,23
L001,Z109,1.23,28
L001,Z110,1.5,33
L001,Z111,1.77,38
L001,Z112,2.04,43
L001,Z113,2.31,10
L001,Z114,2.58,15
L001,Z115,2.85,20
L001,Z116,1.14,25
L001,Z117,1.41,30
L001,Z118,1.68,35
L001,Z119,1.95,40
L001,Z120,2.22,45
L002,Z001,2.22,27
L002,Z002,2.49,32
L002,Z003,2.76,37
L002,Z004,1.05,42
L002,Z005,1.32,9
L002,Z006,1.59,14
L002,Z007,1.86,19
L002,Z008,2.13,24
L002,Z009,2.4,29
L002,Z010,2.67,34
L002,Z011,2.94,39
L002,Z012,1.23,44
L002,Z013,1.5,11
L002,Z014,1.77,16
L002,Z015,2.04,21
L002,Z016,2.31,26
L002,Z017,2.58,31
L002,Z018,2.85,36
L002,Z019,1.14,41
L002,Z020,1.41,8
L002,Z021,1.68,13
L002,Z022,1.95,18
L002,Z023,2.22,23
L002,Z024,2.49,28
L002,Z025,2.76,33
L002,Z026,1.05,38
L002,Z027,1.32,43
L002,Z028,1.59,10
L002,Z029,1.86,15
L002,Z030,2.13,20
L002,Z031,2.4,25
L002,Z032,2.67,30
L002,Z033,2.94,35
L002,Z034,1.23,40
L002,Z035,1.5,45
L002,Z036,1.77,12
L002,Z037,2.04,17
L002,Z038,2.31,22
L002,Z039,2.58,27
L002,Z040,2.85,32
L002,Z041,1.14,37
L002,Z042,1.41,42
L002,Z043,1.68,9
L002,Z044,1.95,14
L002,Z045,2.22,19
L002,Z046,2.49,24
L002,Z047,2.76,29
L002,Z048,1.05,34
L002,Z049,1.32,39
L002,Z050,1.59,44
L002,Z051,1.86,11
L002,Z052,2.13,16
L002,Z053,2.4,21
L002,Z054,2.67,26
L002,Z055,2.94,31
L002,Z056,1.23,36
L002,Z057,1.5,41
L002,Z058,1.77,8
L002,Z059,2.04,13
L002,Z060,2.31,18
L002,Z061,2.58,23
L002,Z062,2.85,28
L002,Z063,1.14,33
L002,Z064,1.41,38
L002,Z065,1.68,43
L002,Z066,1.95,10
L002,Z067,2.22,15
L002,Z068,2.49,20
L002,Z069,2.76,25
L002,Z070,1.05,30
L002,Z071,1.32,35
L002,Z072,1.59,40
L002,Z073,1.86,45
L002,Z074,2.13,12
L002,Z075,2.4,17
L002,Z076,2.67,22
