overflow_node_id,capacity,setup_cost
S01,5411,9260
S02,5622,9520
S03,5833,9780
S04,6044,10040
S05,6255,10300
S06,6466,10560
S07,6677,10820
S08,6888,11080
S09,7099,11340
S10,7310,11600
S11,7521,11860
S12,7732,12120
S13,7943,12380
S14,8154,12640
S15,8365,12900
S16,8576,13160
S17,8787,13420
S18,8998,13680
S19,9209,13940
S20,9420,14200
S21,9631,14460
S22,9842,14720
S23,10053,14980
S24,10264,15240
S25,10475,15500
S26,10686,15760
S27,10897,16020
S28,11108,16280
S29,5219,16540
S30,5430,16800
S31,5641,17060
S32,5852,17320
S33,6063,17580
S34,6274,17840
S35,6485,18100
S36,6696,18360
S37,6907,18620
S38,7118,18880
S39,7329,19140
S40,7540,19400
S41,7751,19660
S42,7962,19920
S43,8173,20180
S44,8384,20440
S45,8595,20700
S46,8806,20960
S47,9017,21220
S48,9228,21480
S49,9439,21740
S50,9650,22000
