arc_id,from_node,to_node,base_capacity_units_per_phase,travel_minutes,reversible_group
R0001,Z01,J01,937,15,G01
R0002,J01,Z01,363,15,G01
R0003,Z02,J02,974,16,G02
R0004,J02,Z02,386,16,G02
R0005,Z03,J03,1011,17,G03
R0006,J03,Z03,409,17,G03
R0007,Z04,J04,1048,18,G04
R0008,J04,Z04,432,18,G04
R0009,Z05,J05,1085,19,G05
R0010,J05,Z05,455,19,G05
R0011,Z06,J06,1122,20,G06
R0012,J06,Z06,478,20,G06
R0013,Z07,J07,1159,21,G07
R0014,J07,Z07,501,21,G07
R0015,Z08,J08,1196,22,G08
R0016,J08,Z08,524,22,G08
R0017,Z09,J09,1233,23,G09
R0018,J09,Z09,547,23,G09
R0019,Z10,J10,1270,24,G10
R0020,J10,Z10,570,24,G10
R0021,Z11,J11,1307,25,G11
R0022,J11,Z11,593,25,G11
R0023,Z12,J12,1344,26,G12
R0024,J12,Z12,616,26,G12
R0025,Z13,J01,1381,27,G01
R0026,J01,Z13,639,27,G01
R0027,Z14,J02,1418,14,G02
R0028,J02,Z14,662,14,G02
R0029,Z15,J03,1455,15,G03
R0030,J03,Z15,685,15,G03
R0031,Z16,J04,1492,16,G04
R0032,J04,Z16,708,16,G04
R0033,Z17,J05,1529,17,G05
R0034,J05,Z17,731,17,G05
R0035,Z18,J06,1566,18,G06
R0036,J06,Z18,754,18,G06
R0037,Z19,J07,1603,19,G07
R0038,J07,Z19,777,19,G07
R0039,Z20,J08,1640,20,G08
R0040,J08,Z20,800,20,G08
R0041,Z21,J09,1677,21,G09
R0042,J09,Z21,823,21,G09
R0043,Z22,J10,1714,22,G10
R0044,J10,Z22,846,22,G10
R0045,Z23,J11,1751,23,G11
R0046,J11,Z23,869,23,G11
R0047,Z24,J12,1788,24,G12
R0048,J12,Z24,892,24,G12
R0049,Z25,J01,1825,25,G01
R0050,J01,Z25,915,25,G01
R0051,Z26,J02,1862,26,G02
R0052,J02,Z26,938,26,G02
R0053,Z27,J03,1899,27,G03
R0054,J03,Z27,341,27,G03
R0055,Z28,J04,1936,14,G04
R0056,J04,Z28,364,14,G04
