scenario_id,probability,phase_id,arc_id,capacity_multiplier
SC1,0.3,P1,R0007,0.72
SC1,0.3,P1,R0016,0.7
SC1,0.3,P1,R0025,0.68
SC1,0.3,P1,R0034,0.95
SC1,0.3,P1,R0043,0.93
SC1,0.3,P1,R0052,0.91
SC1,0.3,P1,R0061,0.89
SC1,0.3,P1,R0070,0.87
SC1,0.3,P1,R0079,0.85
SC1,0.3,P1,R0088,0.83
SC1,0.3,P1,R0097,0.81
SC1,0.3,P1,R0106,0.79
SC1,0.3,P1,R0115,0.77
SC1,0.3,P1,R0124,0.75
SC1,0.3,P1,R0133,0.73
SC1,0.3,P1,R0142,0.71
SC1,0.3,P1,R0151,0.69
SC1,0.3,P1,R0160,0.96
SC1,0.3,P1,R0169,0.94
SC1,0.3,P1,R0178,0.92
SC1,0.3,P1,R0187,0.9
SC1,0.3,P1,R0196,0.88
SC1,0.3,P1,R0205,0.86
SC1,0.3,P2,R0006,0.76
SC1,0.3,P2,R0015,0.74
SC1,0.3,P2,R0024,0.72
SC1,0.3,P2,R0033,0.7
SC1,0.3,P2,R0042,0.68
SC1,0.3,P2,R0051,0.95
SC1,0.3,P2,R0060,0.93
SC1,0.3,P2,R0069,0.91
SC1,0.3,P2,R0078,0.89
SC1,0.3,P2,R0087,0.87
SC1,0.3,P2,R0096,0.85
SC1,0.3,P2,R0105,0.83
SC1,0.3,P2,R0114,0.81
SC1,0.3,P2,R0123,0.79
SC1,0.3,P2,R0132,0.77
SC1,0.3,P2,R0141,0.75
SC1,0.3,P2,R0150,0.73
SC1,0.3,P2,R0159,0.71
SC1,0.3,P2,R0168,0.69
SC1,0.3,P2,R0177,0.96
SC1,0.3,P2,R0186,0.94
SC1,0.3,P2,R0195,0.92
SC1,0.3,P2,R0204,0.9
SC1,0.3,P3,R0005,0.8
SC1,0.3,P3,R0014,0.78
SC1,0.3,P3,R0023,0.76
SC1,0.3,P3,R0032,0.74
SC1,0.3,P3,R0041,0.72
SC1,0.3,P3,R0050,0.7
SC1,0.3,P3,R0059,0.68
SC1,0.3,P3,R0068,0.95
SC1,0.3,P3,R0077,0.93
SC1,0.3,P3,R0086,0.91
SC1,0.3,P3,R0095,0.89
SC1,0.3,P3,R0104,0.87
SC1,0.3,P3,R0113,0.85
SC1,0.3,P3,R0122,0.83
SC1,0.3,P3,R0131,0.81
SC1,0.3,P3,R0140,0.79
SC1,0.3,P3,R0149,0.77
SC1,0.3,P3,R0158,0.75
SC1,0.3,P3,R0167,0.73
SC1,0.3,P3,R0176,0.71
SC1,0.3,P3,R0185,0.69
SC1,0.3,P3,R0194,0.96
SC1,0.3,P3,R0203,0.94
SC1,0.3,P4,R0004,0.84
SC1,0.3,P4,R0013,0.82
SC1,0.3,P4,R0022,0.8
SC1,0.3,P4,R0031,0.78
SC1,0.3,P4,R0040,0.76
SC1,0.3,P4,R0049,0.74
SC1,0.3,P4,R0058,0.72
SC1,0.3,P4,R0067,0.7
SC1,0.3,P4,R0076,0.68
SC1,0.3,P4,R0085,0.95
SC1,0.3,P4,R0094,0.93
SC1,0.3,P4,R0103,0.91
SC1,0.3,P4,R0112,0.89
SC1,0.3,P4,R0121,0.87
SC1,0.3,P4,R0130,0.85
SC1,0.3,P4,R0139,0.83
SC1,0.3,P4,R0148,0.81
SC1,0.3,P4,R0157,0.79
SC1,0.3,P4,R0166,0.77
SC1,0.3,P4,R0175,0.75
SC1,0.3,P4,R0184,0.73
SC1,0.3,P4,R0193,0.71
SC1,0.3,P4,R0202,0.69
SC1,0.3,P5,R0003,0.88
SC1,0.3,P5,R0012,0.86
SC1,0.3,P5,R0021,0.84
SC1,0.3,P5,R0030,0.82
SC1,0.3,P5,R0039,0.8
SC1,0.3,P5,R0048,0.78
SC1,0.3,P5,R0057,0.76
SC1,0.3,P5,R0066,0.74
SC1,0.3,P5,R0075,0.72
SC1,0.3,P5,R0084,0.7
SC1,0.3,P5,R0093,0.68
SC1,0.3,P5,R0102,0.95
SC1,0.3,P5,R0111,0.93
SC1,0.3,P5,R0120,0.91
SC1,0.3,P5,R0129,0.89
SC1,0.3,P5,R0138,0.87
SC1,0.3,P5,R0147,0.85
SC1,0.3,P5,R0156,0.83
SC1,0.3,P5,R0165,0.81
SC1,0.3,P5,R0174,0.79
SC1,0.3,P5,R0183,0.77
SC1,0.3,P5,R0192,0.75
SC1,0.3,P5,R0201,0.73
SC1,0.3,P6,R0002,0.92
SC1,0.3,P6,R0011,0.9
SC1,0.3,P6,R0020,0.88
SC1,0.3,P6,R0029,0.86
SC1,0.3,P6,R0038,0.84
SC1,0.3,P6,R0047,0.82
SC1,0.3,P6,R0056,0.8
SC1,0.3,P6,R0065,0.78
SC1,0.3,P6,R0074,0.76
SC1,0.3,P6,R0083,0.74
SC1,0.3,P6,R0092,0.72
SC1,0.3,P6,R0101,0.7
SC1,0.3,P6,R0110,0.68
SC1,0.3,P6,R0119,0.95
SC1,0.3,P6,R0128,0.93
SC1,0.3,P6,R0137,0.91
SC1,0.3,P6,R0146,0.89
SC1,0.3,P6,R0155,0.87
SC1,0.3,P6,R0164,0.85
SC1,0.3,P6,R0173,0.83
SC1,0.3,P6,R0182,0.81
SC1,0.3,P6,R0191,0.79
SC1,0.3,P6,R0200,0.77
SC2,0.25,P1,R0006,0.74
SC2,0.25,P1,R0015,0.72
SC2,0.25,P1,R0024,0.7
SC2,0.25,P1,R0033,0.68
SC2,0.25,P1,R0042,0.95
SC2,0.25,P1,R0051,0.93
SC2,0.25,P1,R0060,0.91
SC2,0.25,P1,R0069,0.89
SC2,0.25,P1,R0078,0.87
SC2,0.25,P1,R0087,0.85
SC2,0.25,P1,R0096,0.83
SC2,0.25,P1,R0105,0.81
SC2,0.25,P1,R0114,0.79
SC2,0.25,P1,R0123,0.77
SC2,0.25,P1,R0132,0.75
SC2,0.25,P1,R0141,0.73
SC2,0.25,P1,R0150,0.71
SC2,0.25,P1,R0159,0.69
SC2,0.25,P1,R0168,0.96
SC2,0.25,P1,R0177,0.94
SC2,0.25,P1,R0186,0.92
SC2,0.25,P1,R0195,0.9
SC2,0.25,P1,R0204,0.88
SC2,0.25,P2,R0005,0.78
SC2,0.25,P2,R0014,0.76
SC2,0.25,P2,R0023,0.74
SC2,0.25,P2,R0032,0.72
SC2,0.25,P2,R0041,0.7
SC2,0.25,P2,R0050,0.68
SC2,0.25,P2,R0059,0.95
SC2,0.25,P2,R0068,0.93
SC2,0.25,P2,R0077,0.91
SC2,0.25,P2,R0086,0.89
SC2,0.25,P2,R0095,0.87
SC2,0.25,P2,R0104,0.85
SC2,0.25,P2,R0113,0.83
SC2,0.25,P2,R0122,0.81
SC2,0.25,P2,R0131,0.79
SC2,0.25,P2,R0140,0.77
SC2,0.25,P2,R0149,0.75
SC2,0.25,P2,R0158,0.73
SC2,0.25,P2,R0167,0.71
SC2,0.25,P2,R0176,0.69
SC2,0.25,P2,R0185,0.96
SC2,0.25,P2,R0194,0.94
SC2,0.25,P2,R0203,0.92
SC2,0.25,P3,R0004,0.82
SC2,0.25,P3,R0013,0.8
SC2,0.25,P3,R0022,0.78
SC2,0.25,P3,R0031,0.76
SC2,0.25,P3,R0040,0.74
SC2,0.25,P3,R0049,0.72
SC2,0.25,P3,R0058,0.7
SC2,0.25,P3,R0067,0.68
SC2,0.25,P3,R0076,0.95
SC2,0.25,P3,R0085,0.93
SC2,0.25,P3,R0094,0.91
SC2,0.25,P3,R0103,0.89
SC2,0.25,P3,R0112,0.87
SC2,0.25,P3,R0121,0.85
SC2,0.25,P3,R0130,0.83
SC2,0.25,P3,R0139,0.81
SC2,0.25,P3,R0148,0.79
SC2,0.25,P3,R0157,0.77
SC2,0.25,P3,R0166,0.75
SC2,0.25,P3,R0175,0.73
SC2,0.25,P3,R0184,0.71
SC2,0.25,P3,R0193,0.69
SC2,0.25,P3,R0202,0.96
SC2,0.25,P4,R0003,0.86
SC2,0.25,P4,R0012,0.84
SC2,0.25,P4,R0021,0.82
SC2,0.25,P4,R0030,0.8
SC2,0.25,P4,R0039,0.78
SC2,0.25,P4,R0048,0.76
SC2,0.25,P4,R0057,0.74
SC2,0.25,P4,R0066,0.72
SC2,0.25,P4,R0075,0.7
SC2,0.25,P4,R0084,0.68
SC2,0.25,P4,R0093,0.95
SC2,0.25,P4,R0102,0.93
SC2,0.25,P4,R0111,0.91
SC2,0.25,P4,R0120,0.89
SC2,0.25,P4,R0129,0.87
SC2,0.25,P4,R0138,0.85
SC2,0.25,P4,R0147,0.83
SC2,0.25,P4,R0156,0.81
SC2,0.25,P4,R0165,0.79
SC2,0.25,P4,R0174,0.77
SC2,0.25,P4,R0183,0.75
SC2,0.25,P4,R0192,0.73
SC2,0.25,P4,R0201,0.71
SC2,0.25,P5,R0002,0.9
SC2,0.25,P5,R0011,0.88
SC2,0.25,P5,R0020,0.86
SC2,0.25,P5,R0029,0.84
SC2,0.25,P5,R0038,0.82
SC2,0.25,P5,R0047,0.8
SC2,0.25,P5,R0056,0.78
SC2,0.25,P5,R0065,0.76
SC2,0.25,P5,R0074,0.74
SC2,0.25,P5,R0083,0.72
SC2,0.25,P5,R0092,0.7
SC2,0.25,P5,R0101,0.68
SC2,0.25,P5,R0110,0.95
SC2,0.25,P5,R0119,0.93
SC2,0.25,P5,R0128,0.91
SC2,0.25,P5,R0137,0.89
SC2,0.25,P5,R0146,0.87
SC2,0.25,P5,R0155,0.85
SC2,0.25,P5,R0164,0.83
SC2,0.25,P5,R0173,0.81
SC2,0.25,P5,R0182,0.79
SC2,0.25,P5,R0191,0.77
SC2,0.25,P5,R0200,0.75
SC2,0.25,P6,R0001,0.94
SC2,0.25,P6,R0010,0.92
SC2,0.25,P6,R0019,0.9
SC2,0.25,P6,R0028,0.88
SC2,0.25,P6,R0037,0.86
SC2,0.25,P6,R0046,0.84
SC2,0.25,P6,R0055,0.82
SC2,0.25,P6,R0064,0.8
SC2,0.25,P6,R0073,0.78
SC2,0.25,P6,R0082,0.76
SC2,0.25,P6,R0091,0.74
SC2,0.25,P6,R0100,0.72
SC2,0.25,P6,R0109,0.7
SC2,0.25,P6,R0118,0.68
SC2,0.25,P6,R0127,0.95
SC2,0.25,P6,R0136,0.93
SC2,0.25,P6,R0145,0.91
SC2,0.25,P6,R0154,0.89
SC2,0.25,P6,R0163,0.87
SC2,0.25,P6,R0172,0.85
SC2,0.25,P6,R0181,0.83
SC2,0.25,P6,R0190,0.81
SC2,0.25,P6,R0199,0.79
