scenario_id,town_id,demand
S01,T01,26
S01,T02,24
S01,T03,21
S01,T04,30
S01,T05,18
S01,T06,20
S01,T07,28
S01,T08,22
S01,T09,17
S01,T10,19
S01,T11,16
S01,T12,23
S02,T01,28
S02,T02,26
S02,T03,23
S02,T04,32
S02,T05,19
S02,T06,22
S02,T07,30
S02,T08,24
S02,T09,18
S02,T10,21
S02,T11,17
S02,T12,25
S03,T01,25
S03,T02,24
S03,T03,21
S03,T04,29
S03,T05,18
S03,T06,20
S03,T07,27
S03,T08,22
S03,T09,17
S03,T10,19
S03,T11,16
S03,T12,23
S04,T01,31
S04,T02,29
S04,T03,25
S04,T04,36
S04,T05,22
S04,T06,24
S04,T07,34
S04,T08,26
S04,T09,20
S04,T10,23
S04,T11,19
S04,T12,28
S05,T01,27
S05,T02,25
S05,T03,22
S05,T04,32
S05,T05,19
S05,T06,21
S05,T07,29
S05,T08,23
S05,T09,18
S05,T10,20
S05,T11,17
S05,T12,24
S06,T01,29
S06,T02,27
S06,T03,24
S06,T04,34
S06,T05,20
S06,T06,22
S06,T07,31
S06,T08,25
S06,T09,19
S06,T10,21
S06,T11,18
S06,T12,26
S07,T01,23
S07,T02,22
S07,T03,19
S07,T04,27
S07,T05,16
S07,T06,18
S07,T07,25
S07,T08,20
S07,T09,15
S07,T10,17
S07,T11,14
S07,T12,21
S08,T01,30
S08,T02,28
S08,T03,24
S08,T04,35
S08,T05,21
S08,T06,23
S08,T07,32
S08,T08,25
S08,T09,20
S08,T10,22
S08,T11,18
S08,T12,26
